Centro,Direccion,Municipio,CP,Provincio,Familia,Modalidad,Especialidad
EL GRECO,PS. DE SAN EUGENIO, 23,TOLEDO,45003,TOLEDO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Integración Social
JORDI DE SANT JORDI,CL ALCALDE GISBERT RICO 24,VALENCIA,46013,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Integración Social
TOMÁS NAVARRO TOMÁS,AV. ESPAÑA, 40,ALBACETE,02006,ALBACETE,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Mediación Comunicativa
Ánxel Casal - Monte Alto,PO/Marítimo 47,CORUÑA (A),15002,A CORUÑA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Mediación Comunicativa
TOMÁS NAVARRO TOMÁS,AV. ESPAÑA, 40,ALBACETE,02006,ALBACETE,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Promoción de Igualdad de Género
GLOBAL FORMACIÓN PROFESIONAL,C/ MANZANEDO, 57,DON BENITO,06400,BADAJOZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Promoción de Igualdad de Género
ATENEA,AV. PUENTE DE RETAMA, 1,CIUDAD REAL,13071,CIUDAD REAL,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Promoción de Igualdad de Género
SAN ISIDRO,CL. POETA MANUEL MARTINEZ, 2,AZUQUECA DE HENARES,19200,GUADALAJARA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Promoción de Igualdad de Género
ESCUELA DE EDUCADORES-HEZITZAILE ESKOLA,CALLE MAYOR (PALACIO EZPELETA), 65,PAMPLONA/IRUÑA,31001,NAVARRA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Todas,Integración Social
CPA-SALDUIE,AVDA. RAMÓN SAÍNZ DE VARANDA, 1-3,ZARAGOZA,50009,ZARAGOZA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Distancia,Educación Infantil
ABYLA,POLIG.AV.DE AFRICA S/N,CEUTA,51002,CEUTA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Distancia,Educación Infantil
CESUR MURCIA,C/. MOLINA DE SEGURA, 1,MURCIA,30007,MURCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Distancia,Integración Social
RADIO ECCA,AVDA. ESCALERITAS, 64 - 1º,PALMAS DE GRAN CANARIA (LAS),35011,LAS PALMAS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Distancia,Integración Social
CASA ESCUELA SANTIAGO UNO,C/ SANTIAGO, Nº 1,SALAMANCA,37008,SALAMANCA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Distancia,Integración Social
RAMON LLULL,VIA PORTUGAL, 2,PALMA,07012,ILLES BALEARS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Animación Socio-Cultural
ENRIQUE FLÓREZ,CALLE MADRID, 20,BURGOS,09002,BURGOS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Animación Socio-Cultural
FRANCISCO DE ORELLANA,AV.DE LA CORONACION,S/N,TRUJILLO,10200,CÁCERES,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Animación Socio-Cultural
LA INMACULADA,CALLE CARMEN SALLÉS,  Nº 8.,CAMPONARAYA,24410,LEÓN,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Animación Socio-Cultural
COLEGIO AQUILA,CALLE Planeta Urano s/n,PARLA,28983,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Animación Socio-Cultural
CENP - FP,CALLE de Joaquín María López 60BIS,MADRID,28015,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Animación Socio-Cultural
JORGE MANRIQUE,AVENIDA REPUBLICA ARGENTINA 1,PALENCIA,34002,PALENCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Animación Socio-Cultural
SANTÍSIMA TRINIDAD,PASEO DE CARMELITAS, Nº 46-52 Y C/ PEÑA DE FRANCIA, Nº 2,SALAMANCA,37007,SALAMANCA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Animación Socio-Cultural
FERNANDO DE ROJAS,CALLLE COLOMBIA, 42,SALAMANCA,37003,SALAMANCA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Animación Socio-Cultural
EMILIO FERRARI,CALLE LA SEMENTERA,S/N,VALLADOLID,47009,VALLADOLID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Animación Socio-Cultural
PRESENTACION DE MARIA,CRUZ BLANCA, 4,VITORIA-GASTEIZ,01012,ARABA/ÁLAVA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Educación Infantil
CARMELITAS-SAGRADO CORAZÓN,FUEROS 49,VITORIA-GASTEIZ,01005,ARABA/ÁLAVA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Educación Infantil
CDS FORMACIÓN PROFESIONAL Y DEPORTIVA,C/ JACINTA GARCÍA HERNÁNDEZ, 6,BADAJOZ,06011,BADAJOZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Educación Infantil
ES LICEU,CAMÍ DE SA CABANA, 31,PONT D'INCA,07141,ILLES BALEARS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Educación Infantil
GLOBAL CENTRE D'ESTUDIS,C/ DE PEP FUSTER, NÚM. 1,MANACOR,07500,ILLES BALEARS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Educación Infantil
ORUE ESKOLA,ORUE AUZUNEA, Bº. SAN MIGUEL DUDEA,AMOREBIETA,48340,BIZKAIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Educación Infantil
E.F.A. LA NORIA,CL. PUENTE JUBO, S/N,PINSEQUE,50298,ZARAGOZA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Educación Infantil
CPA-SALDUIE,AVDA. RAMÓN SAÍNZ DE VARANDA, 1-3,ZARAGOZA,50009,ZARAGOZA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Educación Infantil
ABYLA,POLIG.AV.DE AFRICA S/N,CEUTA,51002,CEUTA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Educación Infantil
BEMBEZAR,AV.DE SANTO TOMAS S/N,AZUAGA,06920,BADAJOZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
MUÑOZ TORRERO,AV. N.S.DE BELEN, 8,CABEZA DEL BUEY,06600,BADAJOZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
FUENTE RONIEL,EUROPA, S/N,FUENTE DEL MAESTRE,06360,BADAJOZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
RAMON LLULL,VIA PORTUGAL, 2,PALMA,07012,ILLES BALEARS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
SON LLEBRE,C/INES RIBERA, NÚM. 8,PLA DE NA TESA,07141,ILLES BALEARS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
Diocesana,c. Vicenç Vidal, 2,NAVAS,08670,BARCELONA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
ENRIQUE FLÓREZ,CALLE MADRID, 20,BURGOS,09002,BURGOS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
AL-QAZERES,CERVANTES,S/N,CACERES,10005,CÁCERES,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
GREGORIO MARAÑON,FACTORÍA DE LOS ÁNGELES, S/N,CAMINOMORISCO,10620,CÁCERES,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
SANTA LUCIA DEL TRAMPAL,DEL PRADO (ANT.AVDA.DE CERVANTES),ALCUESCAR,10160,CÁCERES,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
CDS FORMACIÓN PROFESIONAL Y DEPORTIVA,C/ VIENA, 3,CACERES,10001,CÁCERES,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
LUCAS AGUIRRE,CL. SAN ESTEBAN, 1,CUENCA,16001,CUENCA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
INSTITUCION PROFESIONAL SALESIANA,RONDA de Don Bosco 3,MADRID,28044,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
ORGANIZACION PROFESIONAL ESPAÑOLA, OPESA,CALLE de Ayala 111,MADRID,28009,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
C.E.S. FUENCARRAL,CALLE de Labastida 13,MADRID,28034,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
LA SALLE FORMACION PROFESIONAL ARAVACA,CALLE de La Salle 8,MADRID,28023,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
CESUR MURCIA,C/. MOLINA DE SEGURA, 1,MURCIA,30007,MURCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
LÓPEZ VICUÑA,CALLE PADRE HIGINIO APARICIO, 1,PALENCIA,34005,PALENCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
CASA ESCUELA SANTIAGO UNO,C/ SANTIAGO, Nº 1,SALAMANCA,37008,SALAMANCA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
LA MILAGROSA Y SANTA FLORENTINA,CAMINO DEL CEMENTERIO, 6,VALLADOLID,47011,VALLADOLID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
SAN VIATOR,PASEO JUAN CARLOS I, 12,VALLADOLID,47008,VALLADOLID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
EMILIO FERRARI,CALLE LA SEMENTERA,S/N,VALLADOLID,47009,VALLADOLID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
GREGORIO FERNÁNDEZ,CALLE GABILONDO, 23,VALLADOLID,47007,VALLADOLID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
RÍO DUERO,AVENIDA DE SANTANDER, Nº 90,VALLADOLID,47011,VALLADOLID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
CESEI,EDIF.ARTEAGA CENTRUM,LARRAURRI , 1  -  EDIF.A-1º,ARTEAGA DERIO,48314,BIZKAIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
ORUE ESKOLA,ORUE AUZUNEA, Bº. SAN MIGUEL DUDEA,AMOREBIETA,48340,BIZKAIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
JUAN ANTONIO FERNÁNDEZ PÉREZ,C/ ESCULTOR MUSTAFÁ ARRUF, 6  (HUERTA SALAMA),MELILLA,52005,MELILLA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Integración Social
SANTA EULALIA,CTRA.DE CIRCUNVALACION,S/N,MERIDA,06800,BADAJOZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Interpretación de la Lengua de Signos
SON LLEBRE,C/INES RIBERA, NÚM. 8,PLA DE NA TESA,07141,ILLES BALEARS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Interpretación de la Lengua de Signos
COLEGIO SIERRA PAMBLEY,CALLE SIERRA PAMBLEY, 10,HOSPITAL DE ORBIGO,24286,LEÓN,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Interpretación de la Lengua de Signos
C.RECURSOS COM.SORDA JUAN LUIS MARROQUIN,CALLE de las Islas Aleutianas 28,MADRID,28035,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Interpretación de la Lengua de Signos
CENTRO EDUCATIVO PONCE DE LEON,CALLE de Eduardo Barreiros 6,MADRID,28041,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Interpretación de la Lengua de Signos
CENTRO DE ESTUDIOS PROFESIONALES MOLINA,C/ DR. FLEMING, 54,MOLINA DE SEGURA,30500,MURCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Interpretación de la Lengua de Signos
JUAN CARLOS I,C/REINA DOÑA SOFIA,S/N,MURCIA,30007,MURCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Interpretación de la Lengua de Signos
LÓPEZ VICUÑA,CALLE PADRE HIGINIO APARICIO, 1,PALENCIA,34005,PALENCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Interpretación de la Lengua de Signos
INSTITUTO DE ENSEÑANZAS APLICADAS,CALLE FRAY JUNÍPERO SERRA, 5-9 Y 12-22,SALAMANCA,37005,SALAMANCA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Interpretación de la Lengua de Signos
SAN VIATOR,PASEO JUAN CARLOS I, 12,VALLADOLID,47008,VALLADOLID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Diurno,Interpretación de la Lengua de Signos
ABYLA,POLIG.AV.DE AFRICA S/N,CEUTA,51002,CEUTA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Nocturno,Animación Socio-Cultural
CDS FORMACIÓN PROFESIONAL Y DEPORTIVA,C/ JACINTA GARCÍA HERNÁNDEZ, 6,BADAJOZ,06011,BADAJOZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Nocturno,Educación Infantil
ABYLA,POLIG.AV.DE AFRICA S/N,CEUTA,51002,CEUTA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Nocturno,Educación Infantil
CDS FORMACIÓN PROFESIONAL Y DEPORTIVA,C/ JACINTA GARCÍA HERNÁNDEZ, 6,BADAJOZ,06011,BADAJOZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Nocturno,Integración Social
ABYLA,POLIG.AV.DE AFRICA S/N,CEUTA,51002,CEUTA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Nocturno,Integración Social
Ánxel Casal - Monte Alto,PO/Marítimo 47,CORUÑA (A),15002,A CORUÑA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Nocturno,Interpretación de la Lengua de Signos
Amor de Dios,Fray Juan Sánchez Cotán , 40,GRANADA,18011,GRANADA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Nocturno,Interpretación de la Lengua de Signos
ABYLA,POLIG.AV.DE AFRICA S/N,CEUTA,51002,CEUTA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Nocturno,Interpretación de la Lengua de Signos
GLOBAL FORMACIÓN PROFESIONAL,C/ MANZANEDO, 57,DON BENITO,06400,BADAJOZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOGSE),Todas,Integración Social
SIXTO MARCO,AV SANTA POLA 6,ELCHE/ELX,03203,ALICANTE/ALACANT,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Diseño  y Producción de Calzado y Complementos
LA TORRETA,AV DE RONDA 77,ELDA,03600,ALICANTE/ALACANT,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Diseño  y Producción de Calzado y Complementos
VIRGEN DE VICO,AVENIDA DEPORTIVA 1,ARNEDO,26580,LA RIOJA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Diseño  y Producción de Calzado y Complementos
COTES BAIXES,PG COTES BAIXES S/N,ALCOY/ALCOI,03804,ALICANTE/ALACANT,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Diseño Técnico en Textil y Piel
Escola Industrial,c. Calderón, 56,SABADELL,08201,BARCELONA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Diseño Técnico en Textil y Piel
de Terrassa,rbla. d'Egara, 331,TERRASSA,08224,BARCELONA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Diseño Técnico en Textil y Piel
JAUME I,AV ALBAIDA 23,ONTINYENT,46870,VALENCIA/VALÈNCIA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Diseño Técnico en Textil y Piel
SIVERA FONT,AV JAUME I S/N,CANALS,46650,VALENCIA/VALÈNCIA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Diseño Técnico en Textil y Piel
CENTRO  DE INNOVACIÓN Y TECNOLOGÍA DEL CALZADO AIDECA ,CL. VELAZQUEZ, 25,ALMANSA,02640,ALBACETE,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje
LUIS CHAMIZO,CTRA.C-520 KM.101,DON BENITO,06400,BADAJOZ,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje
BEANA,C/.MONTE FARO, 43 BAJO,LUGO,27000,LUGO,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje
EIDE,JENARO ORAA, 6,SANTURTZI,48980,BIZKAIA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje
SIXTO MARCO,AV SANTA POLA 6,ELCHE/ELX,03203,ALICANTE/ALACANT,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
Anna Gironella de Mundet,pg. Vall d'Hebron, s/n,BARCELONA,08035,BARCELONA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
Les Vinyes,c. Amèrica, 53,SANTA COLOMA DE GRAMENET,08924,BARCELONA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
Lluís Domènech i Montaner,c. Francesc Cambó, 2,CANET DE MAR,08360,BARCELONA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
Centre de Formació Creatiu i Tècnic Sabadell,c. Vila Cinca, 155-157,SABADELL,08208,BARCELONA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
EFPA,av. Marquès de Comillas, 81-83,SABADELL,08202,BARCELONA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
UNIVERSIDAD LABORAL,AV.UNIVERSIDAD,S/N,CACERES,10003,CÁCERES,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
Liceo La Paz,AV/Sebastián Matínez Risco 12,CORUÑA (A),15009,A CORUÑA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
Paseo das Pontes,RU/San Pedro de Mezonzo 4,CORUÑA (A),15004,A CORUÑA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
La Garrotxa,ctra. de Riudaura, 110,OLOT,17800,GIRONA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
Luis Bueno Crespo,de Las Palmeras, s/n,ARMILLA,18100,GRANADA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
CENTRO DE ESTUDIOS  A.E.G.,Heriz  82,DONOSTIA/SAN SEBASTIÁN,20008,GIPUZKOA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
Guindàvols,c. Eugeni d'Ors, s/n,LLEIDA,25196,LLEIDA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
SANTO DOMINGO SAVIO,CALLE de Santo Domingo Savio 2,MADRID,28017,MADRID,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
SANTA ENGRACIA,CALLE de Santa Engracia 13,MADRID,28010,MADRID,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
LEONARDO DA VINCI,CALLE del General Romero Basart 90,MADRID,28044,MADRID,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
FUENLLANA,TRVA Fuente Cisneros 1,ALCORCON,28922,MADRID,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
CAMPUS FP SOCIOSANITARIO MOSTOLES,AVDA Cámara de la Industria 16,MOSTOLES,28938,MADRID,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
IED MADRID ENSEÑANZAS PROFESIONALES,CALLE de la Flor Alta 8,MADRID,28004,MADRID,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
CAMPUS FP ATOCHA,CALLE de Sebastián Herrera 14,MADRID,28012,MADRID,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
CAMPUS FP FUNDACION APROCOR LAS FUENTES,CALLE de Vicente Morales 5,MADRID,28043,MADRID,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
LA MINILLA,C/ CONCEJAL GARCÍA FEO, 28,PALMAS DE GRAN CANARIA (LAS),35011,LAS PALMAS,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
Manuel Antonio,AV/de Madrid, s/n - (Apartado 3138),VIGO,36214,PONTEVEDRA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
CIUDAD DE BÉJAR,C/ ZÚÑIGA RODRÍGUEZ Nº 27,BEJAR,37700,SALAMANCA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
LAS INDIAS,C/ ELADIO ROCA SALAZAR, 8-A,SANTA CRUZ DE TENERIFE,38008,SANTA CRUZ DE TENERIFE,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
Pablo Picasso,Ontur, s/n,SEVILLA,41019,SEVILLA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
SIVERA FONT,AV JAUME I S/N,CANALS,46650,VALENCIA/VALÈNCIA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
CIUTAT DE L'APRENENT,CL CIUDAD DEL APRENDIZ 4,VALENCIA,46017,VALENCIA/VALÈNCIA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
CENTRO DE FORMACIÓN PROFESIONAL TEMAT ESCUELA TÉCNICA,CALLE DOCTOR BARRAQUER, S/N,VALLADOLID,47011,VALLADOLID,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
NICOLAS LARBURU,Aldapa 3,SAN VICENTE DE BARAKALDO,48901,BIZKAIA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
LUIS BUÑUEL,CL. SIERRA DE VICOR, 20,ZARAGOZA,50003,ZARAGOZA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Patronaje y Moda
SERRA MARIOLA,CL L'ORXA 1,MURO DEL ALCOY,03830,ALICANTE/ALACANT,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Vestuario a Medida y de Espectáculos 
Anna Gironella de Mundet,pg. Vall d'Hebron, s/n,BARCELONA,08035,BARCELONA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Vestuario a Medida y de Espectáculos 
EFPA,av. Marquès de Comillas, 81-83,SABADELL,08202,BARCELONA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Vestuario a Medida y de Espectáculos 
CENTRO DE ESTUDIOS  A.E.G.,Heriz  82,DONOSTIA/SAN SEBASTIÁN,20008,GIPUZKOA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Vestuario a Medida y de Espectáculos 
Guindàvols,c. Eugeni d'Ors, s/n,LLEIDA,25196,LLEIDA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Vestuario a Medida y de Espectáculos 
SANTA ENGRACIA,CALLE de Santa Engracia 13,MADRID,28010,MADRID,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Vestuario a Medida y de Espectáculos 
LEONARDO DA VINCI,CALLE del General Romero Basart 90,MADRID,28044,MADRID,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Vestuario a Medida y de Espectáculos 
LA MINILLA,C/ CONCEJAL GARCÍA FEO, 28,PALMAS DE GRAN CANARIA (LAS),35011,LAS PALMAS,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Vestuario a Medida y de Espectáculos 
LAS INDIAS,C/ ELADIO ROCA SALAZAR, 8-A,SANTA CRUZ DE TENERIFE,38008,SANTA CRUZ DE TENERIFE,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Vestuario a Medida y de Espectáculos 
CIUTAT DE L'APRENENT,CL CIUDAD DEL APRENDIZ 4,VALENCIA,46017,VALENCIA/VALÈNCIA,TEXTIL, CONFECCIÓN Y PIEL,Diurno,Vestuario a Medida y de Espectáculos 
SANTA ENGRACIA,CALLE de Santa Engracia 13,MADRID,28010,MADRID,TEXTIL, CONFECCIÓN Y PIEL,Dual,Patronaje y Moda
Paseo das Pontes,RU/San Pedro de Mezonzo 4,CORUÑA (A),15004,A CORUÑA,TEXTIL, CONFECCIÓN Y PIEL,Nocturno,Patronaje y Moda
EL SOBRADILLO,C/ PROLONGACIÓN AREJO, 2,SOBRADILLO (EL),38107,SANTA CRUZ DE TENERIFE,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,Distancia,Automoción
EGIBIDE LH-FP,Francia 32,VITORIA-GASTEIZ,01002,ARABA/ÁLAVA,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,Diurno,Automoción
MENDIZABALA,Portal de Lasarte 23,VITORIA-GASTEIZ,01007,ARABA/ÁLAVA,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,Diurno,Automoción
COTES BAIXES,PG COTES BAIXES S/N,ALCOY/ALCOI,03804,ALICANTE/ALACANT,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,Diurno,Automoción
SAN JOSÉ ARTESANO,AV DE DON BOSCO 14,ELCHE/ELX,03293,ALICANTE/ALACANT,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,Diurno,Automoción
EL PALMERAL,AV DEL DOCTOR GARCÍA ROGEL 28,ORIHUELA,03300,ALICANTE/ALACANT,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,Diurno,Automoción
LA TORRETA,CL EDUARDO FERNÁNDEZ GARCÍA S/N,ELCHE/ELX,03203,ALICANTE/ALACANT,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,Diurno,Automoción
